title
Boneless Buffalo Strips (5pcs)
Truffalo Burger
Bird Khalifa Wings (10pcs)
Truffalo Wings (10pcs)
Buffalo + Blue Cheese & Celery (GF)
Shanghai Oriental
Sweet & Smokey BBQ
Bangcoq
Seoulja Boi
Szech-One (GF)
Jamaican'Me Crazy (EXTRA HOT-GF)
Naked Wings (No Sauce)
Shanghai Cauliflower (V)
Classic OG
Buffalo OG
BBQ OG
The Thai Fry
Seoul Sista
Truffle Mac & Cheese with Beef Shortrib
King Prawns with Shanghai Mayo (5pcs)
Fries
Truffle Parm Fries (GF)
Sweet Potato Maple Pecan Fries (Contains Nuts)
Honey Mustard Slaw
Extra Ranch
Extra Blue Cheese
Extra BBQ
Extra Buffalo
Extra Jamaica
Corona
Modelo
Red Stripe
Rekordelig Wild Berries
Rekordelig Strawberry & Lime Cider
Peroni Nastro Azzuro
Crabbies Ginger Beer
BrewDog Punk IPA
Pecking Order Chenin Blanc
Peking Order Merlot 
Whispering Angel (Bottle)
Pecking Order Pinotage Rose (Bottle)
La Motte C Sauvignon (Btl)
A. Scott Sauvignon Blanc Btl
Quara Malbec (Bottle)
Coke
Coke Zero
Diet Coke
Sprite
Fanta
Redbull (Sugar Free)
Appletizer
Wings & Things Cookbook
